epoch,step,test_mae,test_mse,train_loss,val_loss
0,49,,,0.4019298553466797,
0,99,,,0.36793962121009827,
0,149,,,0.4430680274963379,
0,199,,,0.27825191617012024,
0,249,,,0.4539607763290405,
0,299,,,0.3498113453388214,
0,349,,,0.30053725838661194,
0,367,,,,0.3282742202281952
1,399,,,0.43220221996307373,
1,449,,,0.3508492410182953,
1,499,,,0.2974831461906433,
1,549,,,0.36543548107147217,
1,599,,,0.3423144221305847,
1,649,,,0.31658342480659485,
1,699,,,0.2781985104084015,
1,735,,,,0.32842686772346497
2,749,,,0.3190494775772095,
2,799,,,0.34134602546691895,
2,849,,,0.434737890958786,
2,899,,,0.38039693236351013,
2,949,,,0.32368266582489014,
2,999,,,0.28056514263153076,
2,1049,,,0.3533801734447479,
2,1099,,,0.3399100601673126,
2,1103,,,,0.3204231262207031
3,1149,,,0.2902556359767914,
3,1199,,,0.34521180391311646,
3,1249,,,0.3199816942214966,
3,1299,,,0.40846335887908936,
3,1349,,,0.38725146651268005,
3,1399,,,0.28551095724105835,
3,1449,,,0.3500472605228424,
3,1471,,,,0.3587566614151001
4,1499,,,0.31616851687431335,
4,1549,,,0.2851393222808838,
4,1599,,,0.27506023645401,
4,1649,,,0.32382237911224365,
4,1699,,,0.3137001693248749,
4,1749,,,0.3420760929584503,
4,1799,,,0.310131698846817,
4,1839,,,,0.32482588291168213
5,1849,,,0.2782648801803589,
5,1899,,,0.30461588501930237,
5,1949,,,0.2984881103038788,
5,1999,,,0.28949347138404846,
5,2049,,,0.2738081216812134,
5,2099,,,0.34800049662590027,
5,2149,,,0.3092939257621765,
5,2199,,,0.26820456981658936,
5,2207,,,,0.32429900765419006
6,2249,,,0.33189719915390015,
6,2299,,,0.30246177315711975,
6,2349,,,0.2626546323299408,
6,2399,,,0.2707848846912384,
6,2449,,,0.2988998591899872,
6,2499,,,0.2539979815483093,
6,2549,,,0.29040032625198364,
6,2575,,,,0.3263329267501831
7,2599,,,0.3080126941204071,
7,2649,,,0.24852126836776733,
7,2699,,,0.32243111729621887,
7,2749,,,0.28680574893951416,
7,2799,,,0.2847045660018921,
7,2849,,,0.3161182999610901,
7,2899,,,0.2844994068145752,
7,2943,,,,0.3364522457122803
8,2944,0.45286551117897034,0.4205564260482788,,
